epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85517,1.10076,3.4095,1.17801,0.01263,1,0.37427,0.29867,0.72718,3.09584,0.89817,0,0,0
2,3.41924,1.08522,3.41927,1.1511,0.01182,1,0.29441,0.25469,0.71736,3.09598,0.90113,1.23763e-05,1.23763e-05,1.23763e-05
3,3.89208,0.86946,3.29715,1.03754,0.01166,1,0.32103,0.25777,0.71954,3.09297,0.90351,2.4505e-05,2.4505e-05,2.4505e-05
4,4.30824,0.93286,3.31408,1.15408,0.01155,1,0.2952,0.25083,0.72509,3.09101,0.90667,3.63862e-05,3.63862e-05,3.63862e-05
5,4.71546,1.00067,3.36432,1.22739,0.01154,1,0.2607,0.23099,0.72066,3.09746,0.90593,4.802e-05,4.802e-05,4.802e-05
6,5.12996,0.93432,3.3164,1.10853,0.01167,1,0.31023,0.23825,0.72013,3.09896,0.90709,5.94062e-05,5.94062e-05,5.94062e-05
7,5.52206,0.91664,3.30274,1.12419,0.01031,0.88889,0.25803,0.22065,0.72132,3.09781,0.90734,7.0545e-05,7.0545e-05,7.0545e-05
8,5.91477,0.89333,3.34919,1.13061,0.01044,0.88889,0.21425,0.18307,0.72601,3.09752,0.90806,8.14362e-05,8.14362e-05,8.14362e-05
9,6.35412,0.96702,3.28464,1.1835,0.01025,0.88889,0.31469,0.26962,0.79485,3.08893,0.92355,9.208e-05,9.208e-05,9.208e-05
10,6.83302,0.87638,3.27493,1.10481,0.01045,0.88889,0.39382,0.32816,0.84507,3.09743,0.94092,0.000102476,0.000102476,0.000102476
11,7.30883,0.92894,3.14317,1.16187,0.01373,1,0.44201,0.35106,0.797,3.09759,0.92132,0.000112625,0.000112625,0.000112625
12,7.77434,0.83055,3.19245,1.06973,0.01526,1,0.41552,0.3396,0.83021,3.09819,0.92338,0.000122526,0.000122526,0.000122526
13,8.24114,0.72789,3.11188,1.02861,0.01602,1,0.47867,0.38273,0.80673,3.08459,0.91095,0.00013218,0.00013218,0.00013218
14,8.71734,0.88983,3.05466,1.08607,0.0163,1,0.473,0.38484,0.80111,3.08091,0.91234,0.000141586,0.000141586,0.000141586
15,9.18971,0.71522,2.97201,1.09665,0.01305,0.88889,0.4764,0.38197,0.82373,3.08009,0.91966,0.000150745,0.000150745,0.000150745
16,9.6625,0.74145,2.9006,1.064,0.01436,0.88889,0.47073,0.37442,0.80748,3.07214,0.92398,0.000159656,0.000159656,0.000159656
17,10.1519,0.79812,2.90683,1.08379,0.01492,0.88889,0.46679,0.36996,0.79885,3.08872,0.93761,0.00016832,0.00016832,0.00016832
18,10.6155,0.72957,2.8023,1.07054,0.01492,0.88889,0.46679,0.36996,0.79885,3.08872,0.93761,0.000176736,0.000176736,0.000176736
19,11.0787,0.80128,2.8165,1.09677,0.01577,0.88889,0.47488,0.37295,0.82935,3.07006,0.93841,0.000184905,0.000184905,0.000184905
20,11.5301,0.65007,2.79925,1.01078,0.01577,0.88889,0.47488,0.37295,0.82935,3.07006,0.93841,0.000192826,0.000192826,0.000192826
21,12.0039,0.79499,2.81394,1.05812,0.01592,0.88889,0.46811,0.37346,0.81511,3.05523,0.94161,0.0002005,0.0002005,0.0002005
22,12.4542,0.70312,2.66669,1.05191,0.01592,0.88889,0.46811,0.37346,0.81511,3.05523,0.94161,0.000207926,0.000207926,0.000207926
23,12.9253,0.86831,2.74223,1.16706,0.01463,0.88889,0.47183,0.37209,0.83792,3.0381,0.95091,0.000215105,0.000215105,0.000215105
24,15.1652,0.77389,2.62262,1.05377,0.01463,0.88889,0.47183,0.37209,0.83792,3.0381,0.95091,0.000222036,0.000222036,0.000222036
25,15.6367,0.73317,2.64484,1.01403,0.01782,0.88889,0.48916,0.37636,0.83848,3.03621,0.94596,0.00022872,0.00022872,0.00022872
26,16.0885,0.71787,2.62531,1.053,0.01782,0.88889,0.48916,0.37636,0.83848,3.03621,0.94596,0.000235156,0.000235156,0.000235156
27,16.5557,0.76363,2.55443,1.06589,0.01736,0.88889,0.49228,0.37717,0.88193,3.0337,0.95076,0.000241345,0.000241345,0.000241345
28,17.0035,0.72975,2.56815,1.05158,0.01736,0.88889,0.49228,0.37717,0.88193,3.0337,0.95076,0.000247286,0.000247286,0.000247286
29,17.4725,0.68326,2.50642,1.06149,0.01718,0.88889,0.47246,0.37331,0.87075,3.01124,0.9366,0.00025298,0.00025298,0.00025298
30,17.9563,0.81231,2.45808,1.07668,0.01718,0.88889,0.47246,0.37331,0.87075,3.01124,0.9366,0.000258426,0.000258426,0.000258426
31,18.4547,0.68165,2.47271,1.01419,0.01615,0.88889,0.47226,0.38307,0.8492,3.00383,0.92723,0.000263625,0.000263625,0.000263625
32,18.9196,0.75034,2.38652,1.03907,0.01615,0.88889,0.47226,0.38307,0.8492,3.00383,0.92723,0.000268576,0.000268576,0.000268576
33,19.4232,0.65652,2.49188,1.01378,0.01509,0.88889,0.48981,0.41595,0.81298,2.99607,0.90516,0.00027328,0.00027328,0.00027328
34,19.9198,0.78068,2.31514,1.07425,0.01509,0.88889,0.48981,0.41595,0.81298,2.99607,0.90516,0.000277736,0.000277736,0.000277736
35,20.4039,0.8413,2.29445,1.09721,0.02022,1,0.50088,0.4185,0.79419,2.97039,0.89398,0.000281945,0.000281945,0.000281945
36,20.8534,0.65858,2.2726,0.98692,0.02022,1,0.50088,0.4185,0.79419,2.97039,0.89398,0.000285906,0.000285906,0.000285906
37,21.3299,0.79223,2.30605,1.11906,0.01745,1,0.49918,0.41039,0.78656,2.97511,0.88714,0.00028962,0.00028962,0.00028962
38,21.7821,0.82019,2.26956,1.18027,0.01745,1,0.49918,0.41039,0.78656,2.97511,0.88714,0.000293086,0.000293086,0.000293086
39,22.249,0.8457,2.25175,1.11842,0.01701,1,0.52056,0.45274,0.71819,2.97561,0.87602,0.000296305,0.000296305,0.000296305
40,22.7012,0.82818,2.13952,1.09558,0.01701,1,0.52056,0.45274,0.71819,2.97561,0.87602,0.000299276,0.000299276,0.000299276
41,23.1702,0.75933,2.10102,1.01971,0.01263,0.88889,0.48933,0.43596,0.65971,2.94326,0.87165,0.000302,0.000302,0.000302
42,23.6129,0.87545,2.08162,1.18395,0.01263,0.88889,0.48933,0.43596,0.65971,2.94326,0.87165,0.000304476,0.000304476,0.000304476
43,24.0761,0.67531,2.00705,1.03115,0.01295,0.88889,0.4578,0.38842,0.73275,2.90019,0.90086,0.000306705,0.000306705,0.000306705
44,24.5214,0.78478,1.97856,1.14727,0.01295,0.88889,0.4578,0.38842,0.73275,2.90019,0.90086,0.000308686,0.000308686,0.000308686
45,24.9845,0.94408,2.20744,1.22784,0.01601,1,0.49973,0.42151,0.76946,2.84819,0.92122,0.00031042,0.00031042,0.00031042
46,25.4311,0.82024,2.07375,1.14302,0.01601,1,0.49973,0.42151,0.76946,2.84819,0.92122,0.000311906,0.000311906,0.000311906
47,25.9015,0.84282,1.8855,1.09754,0.01231,0.88889,0.50594,0.44118,0.76258,2.80179,0.92277,0.000313145,0.000313145,0.000313145
48,26.3498,0.69119,1.83653,1.0493,0.01231,0.88889,0.50594,0.44118,0.76258,2.80179,0.92277,0.000314136,0.000314136,0.000314136
